e,1757
a,1684
i,1257
n,1177
r,1163
o,1079
s,1040
t,956
l,899
c,606
m,582
d,571
u,553
1,533
h,502
g,418
p,408
b,400
k,372
0,358
y,355
2,334
E,297
9,297
3,293
A,293
f,250
5,249
7,246
4,243
v,236
8,221
I,218
S,214
R,209
6,203
N,202
w,199
O,188
T,175
j,173
L,162
z,147
-,140
C,125
D,116
M,116
U,102
H,98
P,93
x,93
B,89
G,88
.,80
K,70
Y,65
!,59
F,58
q,57
V,51
W,45
J,39
@,37
$,32
+,31
Z,30
_,25
X,23
Q,17
?,15
/,4
*,4
{,4
#,3
&,2
=,1
%,1
